Date,aapl,csco,ibm,msft
2000-06-12,91.187501,62.125,118.84375,66.875
2000-06-13,94.5,65.0,119.3125,67.875
2000-06-14,90.437497,65.1875,116.0,70.5
2000-06-15,92.374998,66.5,116.8125,72.375
2000-06-16,91.187501,67.8125,113.25,72.5625
2000-06-19,96.625002,68.9375,120.375,73.6875
2000-06-20,101.250001,67.125,116.375,74.9375
2000-06-21,55.625001,67.4375,114.5,80.6875
2000-06-22,53.749999,64.5625,111.8125,79.875
2000-06-23,51.687501,62.625,111.875,77.6875
2000-06-26,54.125,62.8125,114.40625,79.5
2000-06-27,51.75,62.25,109.75,78.8125
2000-06-28,54.437501,63.5625,113.78125,78.9375
2000-06-29,51.250001,61.1875,114.0,77.1875
2000-06-30,52.375,63.5625,109.5625,80.0
2000-07-03,53.312499,64.625,109.5,80.0
2000-07-05,51.625,61.875,105.0,78.5
2000-07-06,51.812501,64.75,101.25,80.9375
2000-07-07,54.437501,65.375,105.0625,82.0
2000-07-10,57.124999,63.125,103.3125,79.4375
2000-07-11,56.937498,62.125,102.0,79.125
2000-07-12,58.874999,63.875,104.625,80.3125
2000-07-13,56.499998,65.25,104.0,79.9375
2000-07-14,57.687502,68.25,103.9375,78.9375
2000-07-17,58.312503,69.625,105.5,78.1875
2000-07-18,57.250002,67.25,103.3125,78.5
2000-07-19,52.687501,66.8125,108.75,73.125
2000-07-20,55.125,69.5,117.25,74.8125
2000-07-21,53.562501,68.125,114.75,72.3125
2000-07-24,48.6875,66.0625,112.5,70.5625
2000-07-25,50.062501,68.125,112.0,69.0
2000-07-26,50.062501,68.5625,109.875,67.8125
2000-07-27,51.999999,68.0,110.3125,69.375
2000-07-28,48.312501,62.8125,111.8125,69.6875
2000-07-31,50.812501,65.4375,112.25,69.8125
2000-08-01,49.3125,63.1875,110.5,68.6875
2000-08-02,47.25,60.9375,114.25,69.375
2000-08-03,48.0,64.375,116.0,70.25
2000-08-04,47.375,65.5625,115.875,69.125
2000-08-07,47.937499,66.25,116.3125,70.0
2000-08-08,46.749999,65.5,118.875,74.125
2000-08-09,47.499999,67.8125,118.75,74.25
2000-08-10,47.5625,63.375,119.75,72.625
2000-08-11,47.6875,64.3125,120.625,72.4375
2000-08-14,47.062499,64.5,123.25,72.1875
2000-08-15,46.6875,63.1875,122.0,71.625
2000-08-16,48.499999,63.0625,122.375,71.0
2000-08-17,51.437499,63.4375,122.5,71.5625
2000-08-18,50.0,63.5,120.4375,71.0
2000-08-21,50.500001,65.5,121.4375,70.625
2000-08-22,51.687501,64.8125,121.375,71.25
2000-08-23,54.312501,67.1875,123.25,70.75
2000-08-24,56.109302,66.5,124.8125,71.125
2000-08-25,56.812502,65.5,129.0,70.625
2000-08-28,58.062497,66.0625,131.5,71.3125
2000-08-29,59.187503,66.5625,132.875,70.9375
2000-08-30,59.5,66.5625,130.3125,70.0
2000-08-31,60.937503,68.625,132.015625,69.8125
2000-09-01,63.4375,68.5625,133.625,70.1875
2000-09-05,62.437497,66.0,131.1875,70.125
2000-09-06,58.437499,64.25,131.4375,69.4375
2000-09-07,61.999997,66.25,133.375,70.0625
2000-09-08,58.874999,63.875,129.5,69.3125
